Time [S],Force [N],Angle X [deg],Angle Y [deg]
0:122,-0.0,0,0
0:225,-0.0,0,0
0:326,-0.0,0,0
0:415,-0.0,0,0
0:513,-0.0,0,0
0:613,-0.0,0,0
0:709,-0.01,0,0
0:805,-0.01,0,0
0:899,-0.01,0,0
0:998,-0.0,0,0
1:096,0.0,0,0
1:196,0.0,0,0
1:298,-0.0,0,0
1:386,-0.0,0,0
1:478,-0.0,0,0
1:581,0.0,0,0
1:679,0.46,0,0
1:772,0.59,0,0
1:874,0.5,0,0
1:973,0.41,0,0
2:072,0.5,0,0
2:159,0.53,0,0
2:259,0.55,0,0
2:358,0.49,0,0
2:460,0.52,0,0
2:559,0.53,0,0
2:642,0.55,0,0
2:742,0.53,0,0
2:848,0.57,0,0
2:942,0.57,0,0
3:033,0.55,0,0
3:137,0.64,0,0
3:233,0.6,0,0
3:327,0.64,0,0
3:435,0.68,0,0
3:524,0.69,0,0
3:619,0.73,0,0
3:724,0.5,0,0
3:822,0.29,0,0
3:908,0.29,0,0
4:008,0.32,0,0
4:108,0.19,0,0
4:208,0.22,0,0
4:308,0.17,0,0
4:400,0.17,0,0
4:493,0.16,0,0
4:598,0.12,0,0
4:695,0.13,0,0
4:788,0.23,0,0
4:884,0.16,0,0
4:985,0.18,0,0
5:083,0.11,0,0
5:176,0.28,0,0
5:275,0.18,0,0
5:375,0.14,0,0
5:475,0.25,0,0
5:563,0.22,0,0
5:662,0.17,0,0
5:763,0.19,0,0
5:859,0.23,0,0
5:946,0.23,0,0
6:050,0.19,0,0
6:149,0.14,0,0
6:244,0.25,0,0
6:345,0.18,0,0
6:432,0.18,0,0
6:537,0.14,0,0
6:633,0.19,0,0
6:733,0.21,0,0
6:832,0.14,0,0
6:924,0.21,0,0
7:024,0.18,0,0
7:123,0.23,0,0
7:225,0.19,0,0
7:319,0.14,0,0
7:409,0.23,0,0
7:504,0.22,0,0
7:608,0.23,0,0
7:707,0.11,0,0
7:808,0.24,0,0
7:896,0.2,0,0
7:992,0.15,0,0
8:092,0.15,0,0
8:195,0.28,0,0
8:281,0.11,0,0
8:382,0.29,0,0
8:484,0.1,0,0
8:575,0.22,0,0
8:683,0.2,0,0
8:766,0.24,0,0
8:866,0.14,0,0
8:970,0.18,0,0
9:069,0.22,0,0
9:155,0.23,0,0
9:258,0.24,0,0
9:358,0.09,0,0
9:457,0.24,0,0
9:550,0.24,0,0
9:642,0.17,0,0
9:746,0.17,0,0
9:842,0.2,0,0
9:943,0.21,0,0
10:035,0.16,0,0
10:133,0.19,0,0
10:233,0.21,0,0
10:326,0.17,0,0
10:433,0.18,0,0
10:514,0.21,0,0
10:619,0.13,0,0
10:715,0.24,0,0
10:816,0.21,0,0
10:909,0.17,0,0
11:009,0.17,0,0
11:107,0.23,0,0
11:199,0.19,0,0
11:305,0.18,0,0
11:392,0.19,0,0
11:493,0.21,0,0
11:591,0.2,0,0
11:695,0.17,0,0
11:784,0.2,0,0
11:881,0.24,0,0
11:982,0.21,0,0
12:079,0.17,0,0
12:180,0.17,0,0
12:271,0.22,0,0
12:366,0.17,0,0
12:459,0.2,0,0
12:561,0.19,0,0
12:656,0.22,0,0
12:757,0.21,0,0
12:851,0.19,0,0
12:952,0.17,0,0
13:052,0.22,0,0
13:143,0.2,0,0
13:243,0.18,0,0
13:336,0.15,0,0
13:434,0.22,0,0
13:532,0.18,0,0
13:626,0.22,0,0
13:731,0.19,0,0
13:832,0.17,0,0
13:923,0.24,0,0
14:015,0.14,0,0
14:114,0.22,0,0
14:217,0.22,0,0
14:317,0.07,0,0
14:401,-0.27,0,0
14:507,-0.4,0,0
14:603,-0.39,0,0
14:698,-0.49,0,0
14:792,-0.5,0,0
14:896,-0.55,0,0
14:993,-0.51,0,0
15:093,-0.5,0,0
15:193,-0.44,0,0
15:281,-0.43,0,0
15:383,-0.42,0,0
15:482,-0.45,0,0
15:579,-0.48,0,0
15:663,-0.49,0,0
15:764,-0.72,0,0
15:868,-2.1,0,0
15:966,-0.81,0,0
16:060,-0.02,0,0
16:158,0.1,0,0
16:258,-0.05,0,0
16:358,-0.07,0,0
16:457,-0.01,0,0
16:547,0.11,0,0
16:637,-0.06,0,0
16:734,-0.01,0,0
16:843,0.01,0,0
16:935,0.01,0,0
17:034,0.03,0,0
17:132,0.0,0,0
17:235,-0.01,0,0
17:314,-0.04,0,0
17:423,-0.01,0,0
17:522,-0.0,0,0
17:616,0.01,0,0
17:719,-0.0,0,0
17:809,-0.05,0,0
17:906,0.03,0,0
18:000,0.0,0,0
18:092,-0.06,0,0
18:194,0.04,0,0
18:295,-0.02,0,0
18:390,-0.01,0,0
18:493,0.05,0,0
18:593,-0.12,0,0
18:684,-0.0,0,0
18:784,0.11,0,0
18:883,-0.09,0,0
18:980,-0.11,0,0
19:070,0.14,0,0
19:169,-0.0,0,0
19:267,-0.2,0,0
19:369,0.09,0,0
19:461,0.13,0,0
19:559,-0.14,0,0
19:648,-0.1,0,0
19:743,0.13,0,0
19:853,0.05,0,0
19:944,-0.15,0,0
