Time [S],Force [N],Angle X [deg],Angle Y [deg]
0:113,-0.01,0,0
0:210,-0.01,0,0
0:312,-0.01,0,0
0:397,-0.01,0,0
0:496,-0.01,0,0
0:597,-0.01,0,0
0:693,-0.01,0,0
0:793,-0.01,0,0
0:885,-0.0,0,0
0:980,0.0,0,0
1:085,-0.0,0,0
1:180,-0.01,0,0
1:275,-0.03,0,0
1:376,-0.01,0,0
1:470,0.0,0,0
1:562,0.01,0,0
1:662,-0.0,0,0
1:761,-0.01,0,0
1:858,-0.01,0,0
1:957,-0.01,0,0
2:054,-0.01,0,0
2:154,-0.01,0,0
2:246,-0.01,0,0
2:346,-0.02,0,0
2:443,-0.01,0,0
2:541,-0.01,0,0
2:631,-0.01,0,0
2:734,0.22,0,0
2:830,0.75,0,0
2:930,0.48,0,0
3:029,0.42,0,0
3:128,0.49,0,0
3:219,0.55,0,0
3:318,0.55,0,0
3:417,0.49,0,0
3:515,0.53,0,0
3:609,0.56,0,0
3:704,0.52,0,0
3:805,0.55,0,0
3:904,0.58,0,0
3:993,0.63,0,0
4:091,0.49,0,0
4:192,0.68,0,0
4:293,0.6,0,0
4:383,0.65,0,0
4:479,0.69,0,0
4:581,0.7,0,0
4:678,0.77,0,0
4:779,0.63,0,0
4:863,0.27,0,0
4:961,0.31,0,0
5:063,0.34,0,0
5:165,0.18,0,0
5:259,0.23,0,0
5:355,0.16,0,0
5:456,0.18,0,0
5:546,0.19,0,0
5:646,0.12,0,0
5:747,0.15,0,0
5:846,0.18,0,0
5:929,0.17,0,0
6:028,0.18,0,0
6:130,0.17,0,0
6:233,0.19,0,0
6:324,0.19,0,0
6:424,0.14,0,0
6:519,0.24,0,0
6:626,0.17,0,0
6:721,0.17,0,0
6:818,0.18,0,0
6:905,0.22,0,0
7:006,0.23,0,0
7:114,0.16,0,0
7:206,0.23,0,0
7:296,0.13,0,0
7:394,0.25,0,0
7:496,0.13,0,0
7:594,0.16,0,0
7:684,0.2,0,0
7:782,0.16,0,0
7:880,0.2,0,0
7:983,0.15,0,0
8:072,0.2,0,0
8:172,0.17,0,0
8:265,0.28,0,0
8:371,0.08,0,0
8:455,0.27,0,0
8:562,0.17,0,0
8:657,0.2,0,0
8:756,0.17,0,0
8:850,0.26,0,0
8:950,0.15,0,0
9:048,0.18,0,0
9:148,0.2,0,0
9:234,0.22,0,0
9:337,0.14,0,0
9:436,0.29,0,0
9:530,0.07,0,0
9:636,0.2,0,0
9:731,0.23,0,0
9:835,0.22,0,0
9:928,0.11,0,0
10:023,0.2,0,0
10:114,0.24,0,0
10:214,0.21,0,0
10:312,0.19,0,0
10:413,0.17,0,0
10:493,0.19,0,0
10:595,0.23,0,0
10:691,0.14,0,0
10:791,0.2,0,0
10:897,0.2,0,0
10:985,0.18,0,0
11:085,0.21,0,0
11:186,0.18,0,0
11:283,0.16,0,0
11:375,0.22,0,0
11:473,0.2,0,0
11:572,0.16,0,0
11:672,0.17,0,0
11:769,0.22,0,0
11:857,0.22,0,0
11:955,0.19,0,0
12:057,0.17,0,0
12:160,0.21,0,0
12:247,0.2,0,0
12:348,0.12,0,0
12:447,0.24,0,0
12:542,0.17,0,0
12:641,0.18,0,0
12:736,0.21,0,0
12:830,0.18,0,0
12:932,0.23,0,0
13:034,0.2,0,0
13:125,0.19,0,0
13:221,0.17,0,0
13:323,0.21,0,0
13:423,0.21,0,0
13:506,0.15,0,0
13:608,0.2,0,0
13:706,0.19,0,0
13:806,0.23,0,0
13:910,0.19,0,0
13:994,0.16,0,0
14:091,0.2,0,0
14:198,0.2,0,0
14:298,0.2,0,0
14:387,0.09,0,0
14:486,0.23,0,0
14:583,0.2,0,0
14:683,0.22,0,0
14:773,0.17,0,0
14:872,0.18,0,0
14:972,0.23,0,0
15:072,0.13,0,0
15:157,0.23,0,0
15:256,0.18,0,0
15:356,0.17,0,0
15:456,-0.17,0,0
15:560,-0.41,0,0
15:649,-0.42,0,0
15:750,-0.43,0,0
15:848,-0.52,0,0
15:942,-0.54,0,0
16:037,-0.54,0,0
16:137,-0.52,0,0
16:254,-0.5,0,0
16:331,-0.42,0,0
16:420,-0.43,0,0
16:522,-0.46,0,0
16:621,-0.5,0,0
16:724,-0.48,0,0
16:822,-0.51,0,0
16:906,-0.49,0,0
17:007,-0.49,0,0
17:107,-0.46,0,0
17:206,-0.46,0,0
17:300,-0.57,0,0
17:398,-0.78,0,0
17:499,-0.1,0,0
17:600,0.03,0,0
17:687,-0.01,0,0
17:787,-0.04,0,0
17:887,0.0,0,0
17:987,0.0,0,0
18:074,0.05,0,0
18:174,-0.06,0,0
18:273,0.02,0,0
18:375,-0.01,0,0
18:461,-0.04,0,0
18:561,0.04,0,0
18:662,0.01,0,0
18:761,-0.05,0,0
18:862,-0.06,0,0
18:950,0.06,0,0
19:048,0.02,0,0
19:147,-0.1,0,0
19:245,-0.01,0,0
19:338,0.08,0,0
19:437,-0.05,0,0
19:538,-0.05,0,0
19:637,0.03,0,0
19:727,-0.02,0,0
19:820,-0.12,0,0
19:920,0.12,0,0
20:026,0.0,0,0
20:125,-0.19,0,0
